Origin,Dest,OriginCityName,DestCityName,OriginStateName,DestStateName,LatitudeDep,LongitudeDep,LatitudeArr,LongitudeArr
SBN,CLT,"South Bend, IN","Charlotte, NC",Indiana,North Carolina,41.7091,-86.3233,35.2107,-80.9457
CLT,PIA,"Charlotte, NC","Peoria, IL",North Carolina,Illinois,35.2107,-80.9457,40.6652,-89.6968
PIA,CLT,"Peoria, IL","Charlotte, NC",Illinois,North Carolina,40.6652,-89.6968,35.2107,-80.9457
HPN,DCA,"White Plains, NY","Washington, DC",New York,Virginia,41.068,-73.7083,38.8513,-77.0397
CLT,PVD,"Charlotte, NC","Providence, RI",North Carolina,Rhode Island,35.2107,-80.9457,41.7224,-71.4286
CLT,SYR,"Charlotte, NC","Syracuse, NY",North Carolina,New York,35.2107,-80.9457,43.1142,-76.1191
PVD,CLT,"Providence, RI","Charlotte, NC",Rhode Island,North Carolina,41.7224,-71.4286,35.2107,-80.9457
SYR,CLT,"Syracuse, NY","Charlotte, NC",New York,North Carolina,43.1142,-76.1191,35.2107,-80.9457
SAV,PHL,"Savannah, GA","Philadelphia, PA",Georgia,Pennsylvania,32.1242,-81.1977,39.875,-75.2352
CLT,ECP,"Charlotte, NC","Panama City, FL",North Carolina,Florida,35.2107,-80.9457,30.3599,-85.804
ECP,CLT,"Panama City, FL","Charlotte, NC",Florida,North Carolina,30.3599,-85.804,35.2107,-80.9457
CLT,OAJ,"Charlotte, NC","Jacksonville/Camp Lejeune, NC",North Carolina,North Carolina,35.2107,-80.9457,34.8268,-77.6149
CLT,CHA,"Charlotte, NC","Chattanooga, TN",North Carolina,Tennessee,35.2107,-80.9457,35.0324,-85.2017
CLT,SHV,"Charlotte, NC","Shreveport, LA",North Carolina,Louisiana,35.2107,-80.9457,32.4451,-93.8267
SHV,CLT,"Shreveport, LA","Charlotte, NC",Louisiana,North Carolina,32.4451,-93.8267,35.2107,-80.9457
CRW,CLT,"Charleston/Dunbar, WV","Charlotte, NC",West Virginia,North Carolina,38.3729,-81.5942,35.2107,-80.9457
BTV,DCA,"Burlington, VT","Washington, DC",Vermont,Virginia,44.4729,-73.1515,38.8513,-77.0397
DCA,BTV,"Washington, DC","Burlington, VT",Virginia,Vermont,38.8513,-77.0397,44.4729,-73.1515
GRR,DCA,"Grand Rapids, MI","Washington, DC",Michigan,Virginia,42.8766,-85.5363,38.8513,-77.0397
CLT,ORF,"Charlotte, NC","Norfolk, VA",North Carolina,Virginia,35.2107,-80.9457,36.8947,-76.2023
ORF,CLT,"Norfolk, VA","Charlotte, NC",Virginia,North Carolina,36.8947,-76.2023,35.2107,-80.9457
